Sex,AgeGroup,Color1,Color2,Color3,Flower1,Flower2,Flower3
Masculin,Under 18,Albastru,Gri,Verde,Carnation,Orchid,Sunflower
Masculin,Under 18,Rosu,Gri,Maro,Cactus,Sunflower,Rose
Masculin,Under 18,Verde,Albastru,Maro,Tulip,Carnation,Daisy
Masculin,18 - 30,Rosu,Albastru,Verde,Daisy,Iris,Cactus
Feminin,Under 18,Maro,Gri,Albastru,Lily,Orchid,Rose
Feminin,Under 18,Gri,Albastru,Maro,Sunflower,Cactus,Rose
Feminin,18 - 30,Rosu,Albastru,Maro,Tulip,Lily,Iris
Feminin,18 - 30,Maro,Albastru,Gri,Iris,Carnation,Rose
Feminin,18 - 30,Gri,Maro,Albastru,Chrysanthemum,Cactus,Daisy
Feminin,18 - 30,Rosu,Maro,Verde,Orchid,Carnation,Tulip
Feminin,18 - 30,Verde,Gri,Maro,Chrysanthemum,Rose,Sunflower
Masculin,Under 18,Gri,Maro,Verde,Tulip,Sunflower,Iris
Feminin,18 - 30,Verde,Rosu,Albastru,Sunflower,Orchid,Iris
Feminin,Under 18,Maro,Albastru,Rosu,Chrysanthemum,Cactus,Daisy
Feminin,Under 18,Maro,Verde,Albastru,Sunflower,Rose,Lily
Masculin,18 - 30,Rosu,Verde,Maro,Carnation,Rose,Sunflower
Masculin,Under 18,Albastru,Rosu,Maro,Orchid,Tulip,Rose
Feminin,18 - 30,Rosu,Albastru,Gri,Chrysanthemum,Daisy,Orchid
Masculin,Under 18,Rosu,Albastru,Maro,Sunflower,Tulip,Lily
Masculin,18 - 30,Gri,Maro,Rosu,Iris,Rose,Lily
Feminin,Under 18,Maro,Albastru,Gri,Carnation,Rose,Tulip
Feminin,18 - 30,Maro,Rosu,Verde,Tulip,Sunflower,Iris
Feminin,Under 18,Maro,Rosu,Albastru,Cactus,Tulip,Orchid
Feminin,Under 18,Rosu,Maro,Verde,Sunflower,Tulip,Lily
Feminin,18 - 30,Albastru,Maro,Rosu,Orchid,Lily,Iris
Feminin,18 - 30,Albastru,Rosu,Gri,Cactus,Carnation,Chrysanthemum
Feminin,Under 18,Verde,Albastru,Gri,Lily,Chrysanthemum,Sunflower
Feminin,18 - 30,Rosu,Albastru,Maro,Tulip,Chrysanthemum,Rose
Feminin,18 - 30,Albastru,Verde,Maro,Carnation,Chrysanthemum,Tulip
Feminin,18 - 30,Verde,Rosu,Gri,Chrysanthemum,Cactus,Orchid
Feminin,Under 18,Maro,Gri,Verde,Daisy,Rose,Orchid
Masculin,18 - 30,Verde,Maro,Albastru,Rose,Iris,Tulip
Feminin,18 - 30,Verde,Albastru,Gri,Chrysanthemum,Tulip,Sunflower
Feminin,Under 18,Rosu,Albastru,Maro,Cactus,Rose,Iris
Masculin,18 - 30,Verde,Albastru,Rosu,Iris,Rose,Orchid
Feminin,Under 18,Rosu,Albastru,Verde,Rose,Sunflower,Tulip
Masculin,Under 18,Verde,Gri,Albastru,Orchid,Rose,Cactus
Masculin,Under 18,Gri,Verde,Albastru,Sunflower,Chrysanthemum,Lily
Masculin,Under 18,Maro,Gri,Rosu,Carnation,Cactus,Sunflower
Feminin,18 - 30,Verde,Rosu,Albastru,Sunflower,Tulip,Iris
Feminin,18 - 30,Maro,Gri,Verde,Rose,Tulip,Iris
Feminin,18 - 30,Albastru,Rosu,Maro,Lily,Iris,Daisy
Feminin,Under 18,Rosu,Maro,Verde,Cactus,Lily,Iris
Feminin,Under 18,Verde,Gri,Rosu,Orchid,Cactus,Rose
Feminin,Under 18,Gri,Maro,Verde,Daisy,Iris,Orchid
Feminin,18 - 30,Maro,Albastru,Gri,Carnation,Cactus,Chrysanthemum
Feminin,Under 18,Albastru,Maro,Rosu,Lily,Cactus,Chrysanthemum
Masculin,Under 18,Verde,Maro,Gri,Cactus,Rose,Tulip
Masculin,Under 18,Verde,Rosu,Gri,Tulip,Chrysanthemum,Daisy
Feminin,Under 18,Verde,Maro,Gri,Carnation,Chrysanthemum,Rose
Masculin,18 - 30,Albastru,Rosu,Maro,Chrysanthemum,Daisy,Sunflower
Masculin,Under 18,Verde,Rosu,Albastru,Daisy,Tulip,Rose
Masculin,18 - 30,Albastru,Rosu,Maro,Carnation,Sunflower,Daisy
Masculin,Under 18,Albastru,Verde,Gri,Tulip,Lily,Daisy
Feminin,Under 18,Maro,Albastru,Gri,Sunflower,Daisy,Cactus
Masculin,18 - 30,Verde,Rosu,Albastru,Iris,Sunflower,Chrysanthemum
Masculin,18 - 30,Gri,Verde,Albastru,Orchid,Carnation,Chrysanthemum
Masculin,Under 18,Maro,Rosu,Verde,Chrysanthemum,Daisy,Orchid
Masculin,Under 18,Verde,Gri,Rosu,Carnation,Daisy,Rose
Feminin,Under 18,Gri,Maro,Verde,Orchid,Lily,Cactus
Masculin,Under 18,Rosu,Maro,Verde,Lily,Carnation,Rose
Feminin,Under 18,Verde,Albastru,Rosu,Orchid,Cactus,Tulip
Feminin,18 - 30,Gri,Albastru,Rosu,Daisy,Sunflower,Iris
Masculin,Under 18,Rosu,Gri,Albastru,Tulip,Cactus,Rose
Masculin,Under 18,Verde,Gri,Rosu,Tulip,Orchid,Chrysanthemum
Masculin,18 - 30,Maro,Gri,Albastru,Rose,Carnation,Tulip
Masculin,18 - 30,Maro,Albastru,Verde,Lily,Daisy,Tulip
Feminin,Under 18,Verde,Gri,Maro,Rose,Iris,Lily
Feminin,Under 18,Maro,Gri,Verde,Orchid,Rose,Sunflower
Masculin,18 - 30,Albastru,Maro,Gri,Orchid,Daisy,Cactus
Masculin,18 - 30,Gri,Rosu,Verde,Iris,Orchid,Chrysanthemum
Masculin,18 - 30,Albastru,Gri,Verde,Rose,Daisy,Tulip
Feminin,Under 18,Maro,Rosu,Albastru,Carnation,Iris,Tulip
Masculin,Under 18,Rosu,Maro,Albastru,Tulip,Lily,Daisy
Feminin,18 - 30,Verde,Rosu,Gri,Iris,Daisy,Orchid
Masculin,18 - 30,Albastru,Maro,Rosu,Chrysanthemum,Tulip,Daisy
Masculin,Under 18,Albastru,Verde,Rosu,Rose,Lily,Carnation
Masculin,Under 18,Rosu,Maro,Gri,Iris,Tulip,Cactus
Masculin,18 - 30,Rosu,Gri,Albastru,Sunflower,Tulip,Daisy
Feminin,18 - 30,Albastru,Gri,Maro,Lily,Daisy,Cactus
Masculin,Under 18,Albastru,Verde,Rosu,Iris,Carnation,Sunflower
Feminin,18 - 30,Verde,Gri,Albastru,Rose,Tulip,Cactus
Feminin,18 - 30,Maro,Gri,Rosu,Orchid,Iris,Daisy
Masculin,Under 18,Albastru,Maro,Gri,Tulip,Lily,Chrysanthemum
Feminin,18 - 30,Verde,Maro,Rosu,Rose,Chrysanthemum,Orchid
Feminin,18 - 30,Rosu,Verde,Maro,Cactus,Lily,Tulip
Masculin,18 - 30,Maro,Albastru,Verde,Cactus,Daisy,Tulip
Masculin,18 - 30,Albastru,Verde,Rosu,Rose,Carnation,Daisy
Feminin,Under 18,Gri,Rosu,Albastru,Daisy,Tulip,Cactus
Masculin,Under 18,Maro,Rosu,Verde,Daisy,Lily,Orchid
Feminin,18 - 30,Rosu,Verde,Maro,Rose,Tulip,Daisy
Masculin,Under 18,Verde,Gri,Albastru,Rose,Lily,Carnation
Masculin,Under 18,Maro,Gri,Verde,Tulip,Rose,Carnation
Feminin,18 - 30,Verde,Rosu,Maro,Cactus,Iris,Chrysanthemum
Masculin,18 - 30,Rosu,Gri,Albastru,Chrysanthemum,Sunflower,Tulip
Feminin,Under 18,Gri,Rosu,Albastru,Iris,Daisy,Sunflower
Feminin,18 - 30,Rosu,Gri,Maro,Iris,Daisy,Orchid
Feminin,Under 18,Albastru,Verde,Rosu,Lily,Daisy,Iris
Masculin,18 - 30,Gri,Albastru,Rosu,Iris,Rose,Cactus
Masculin,Under 18,Albastru,Rosu,Gri,Cactus,Orchid,Iris
Feminin,Under 18,Albastru,Verde,Gri,Orchid,Daisy,Tulip
Masculin,Under 18,Maro,Verde,Rosu,Rose,Daisy,Chrysanthemum
Feminin,18 - 30,Maro,Albastru,Rosu,Sunflower,Lily,Rose
Masculin,18 - 30,Albastru,Maro,Verde,Tulip,Rose,Lily
Feminin,18 - 30,Gri,Rosu,Verde,Iris,Lily,Cactus
Masculin,Under 18,Albastru,Rosu,Maro,Cactus,Orchid,Daisy
Feminin,18 - 30,Gri,Maro,Rosu,Orchid,Tulip,Iris
Feminin,18 - 30,Rosu,Verde,Gri,Iris,Tulip,Cactus
Masculin,18 - 30,Rosu,Gri,Maro,Tulip,Lily,Iris
Masculin,18 - 30,Albastru,Rosu,Maro,Chrysanthemum,Carnation,Daisy
Feminin,Under 18,Maro,Albastru,Rosu,Daisy,Sunflower,Tulip
Masculin,Under 18,Gri,Albastru,Maro,Rose,Sunflower,Carnation
Masculin,Under 18,Verde,Albastru,Rosu,Orchid,Chrysanthemum,Lily
Masculin,18 - 30,Albastru,Rosu,Maro,Lily,Cactus,Carnation
Feminin,Under 18,Verde,Gri,Rosu,Orchid,Tulip,Cactus
Masculin,18 - 30,Verde,Gri,Albastru,Daisy,Iris,Rose
Feminin,Under 18,Verde,Rosu,Maro,Rose,Carnation,Tulip
Masculin,Under 18,Albastru,Rosu,Gri,Cactus,Carnation,Tulip
Feminin,18 - 30,Maro,Albastru,Gri,Lily,Tulip,Orchid
Feminin,Under 18,Albastru,Verde,Rosu,Lily,Tulip,Chrysanthemum
Masculin,18 - 30,Rosu,Albastru,Verde,Tulip,Orchid,Sunflower
Feminin,Under 18,Maro,Gri,Rosu,Lily,Sunflower,Iris
Masculin,Under 18,Maro,Rosu,Albastru,Chrysanthemum,Lily,Tulip
Masculin,Under 18,Rosu,Gri,Albastru,Tulip,Iris,Lily
Masculin,18 - 30,Rosu,Gri,Albastru,Tulip,Sunflower,Daisy
Feminin,18 - 30,Albastru,Rosu,Maro,Orchid,Chrysanthemum,Cactus
Feminin,18 - 30,Albastru,Rosu,Verde,Lily,Orchid,Tulip
Masculin,18 - 30,Gri,Verde,Albastru,Chrysanthemum,Iris,Sunflower
Masculin,Under 18,Albastru,Verde,Gri,Cactus,Iris,Chrysanthemum
Masculin,Under 18,Gri,Maro,Albastru,Chrysanthemum,Orchid,Iris
Masculin,Under 18,Gri,Rosu,Verde,Chrysanthemum,Rose,Iris
Masculin,18 - 30,Gri,Verde,Maro,Rose,Daisy,Iris
Feminin,Under 18,Verde,Gri,Rosu,Carnation,Orchid,Iris
Feminin,Under 18,Gri,Albastru,Rosu,Lily,Carnation,Cactus
Feminin,Under 18,Maro,Albastru,Rosu,Lily,Rose,Carnation
Feminin,18 - 30,Maro,Verde,Rosu,Lily,Orchid,Tulip
Masculin,Under 18,Verde,Gri,Albastru,Cactus,Daisy,Iris
Feminin,Under 18,Verde,Gri,Albastru,Cactus,Rose,Iris
Feminin,18 - 30,Rosu,Gri,Verde,Rose,Carnation,Cactus
Masculin,Under 18,Albastru,Rosu,Gri,Daisy,Orchid,Rose
Feminin,Under 18,Rosu,Albastru,Maro,Sunflower,Orchid,Iris
Masculin,Under 18,Maro,Albastru,Rosu,Chrysanthemum,Orchid,Lily
Masculin,18 - 30,Albastru,Rosu,Maro,Cactus,Orchid,Lily
Masculin,Under 18,Maro,Albastru,Verde,Lily,Iris,Tulip
Feminin,Under 18,Maro,Albastru,Gri,Tulip,Iris,Sunflower
Masculin,Under 18,Albastru,Maro,Rosu,Iris,Orchid,Chrysanthemum
Feminin,Under 18,Gri,Verde,Rosu,Rose,Carnation,Tulip
Masculin,18 - 30,Rosu,Albastru,Maro,Daisy,Sunflower,Tulip
Feminin,18 - 30,Rosu,Gri,Maro,Rose,Carnation,Orchid
Masculin,18 - 30,Maro,Albastru,Gri,Lily,Rose,Daisy
Feminin,Under 18,Albastru,Verde,Gri,Chrysanthemum,Sunflower,Iris
Masculin,Under 18,Verde,Albastru,Rosu,Iris,Sunflower,Daisy
Masculin,18 - 30,Maro,Gri,Albastru,Tulip,Iris,Orchid
Masculin,Under 18,Gri,Albastru,Rosu,Tulip,Carnation,Lily
Feminin,Under 18,Maro,Rosu,Albastru,Daisy,Cactus,Tulip
Masculin,18 - 30,Gri,Verde,Albastru,Tulip,Cactus,Rose
Feminin,18 - 30,Albastru,Verde,Rosu,Iris,Carnation,Lily
Feminin,Under 18,Albastru,Verde,Gri,Tulip,Cactus,Chrysanthemum
Masculin,18 - 30,Rosu,Maro,Albastru,Chrysanthemum,Cactus,Iris
Masculin,Under 18,Albastru,Gri,Verde,Lily,Cactus,Daisy
Feminin,Under 18,Gri,Maro,Rosu,Rose,Orchid,Iris
Feminin,Under 18,Maro,Verde,Gri,Cactus,Iris,Tulip
Masculin,18 - 30,Verde,Albastru,Maro,Sunflower,Daisy,Carnation
Feminin,Under 18,Rosu,Albastru,Gri,Rose,Orchid,Lily
Masculin,18 - 30,Gri,Rosu,Verde,Chrysanthemum,Tulip,Lily
Masculin,Under 18,Rosu,Albastru,Maro,Sunflower,Iris,Cactus
Masculin,Under 18,Albastru,Maro,Verde,Daisy,Tulip,Sunflower
Masculin,18 - 30,Verde,Albastru,Maro,Chrysanthemum,Rose,Carnation
Feminin,Under 18,Albastru,Verde,Rosu,Orchid,Daisy,Tulip
Masculin,Under 18,Albastru,Rosu,Maro,Carnation,Iris,Chrysanthemum
Feminin,Under 18,Gri,Rosu,Albastru,Lily,Carnation,Orchid
Feminin,18 - 30,Albastru,Gri,Verde,Cactus,Chrysanthemum,Rose
Feminin,18 - 30,Gri,Albastru,Maro,Carnation,Orchid,Daisy
Masculin,18 - 30,Rosu,Gri,Albastru,Carnation,Daisy,Tulip
Masculin,Under 18,Maro,Albastru,Rosu,Orchid,Cactus,Sunflower
Feminin,Under 18,Gri,Rosu,Verde,Tulip,Orchid,Carnation
Masculin,Under 18,Albastru,Maro,Verde,Sunflower,Carnation,Daisy
Masculin,18 - 30,Verde,Albastru,Rosu,Tulip,Cactus,Lily
Feminin,Under 18,Gri,Rosu,Verde,Iris,Daisy,Orchid
Masculin,18 - 30,Verde,Rosu,Gri,Lily,Daisy,Orchid
Masculin,18 - 30,Albastru,Verde,Gri,Orchid,Iris,Cactus
Masculin,Under 18,Gri,Albastru,Rosu,Lily,Daisy,Chrysanthemum
Feminin,Under 18,Verde,Albastru,Gri,Tulip,Cactus,Rose
Masculin,Under 18,Rosu,Maro,Albastru,Rose,Lily,Cactus
Feminin,18 - 30,Rosu,Gri,Verde,Carnation,Lily,Cactus
Masculin,Under 18,Maro,Albastru,Rosu,Daisy,Lily,Rose
Masculin,Under 18,Maro,Gri,Albastru,Orchid,Rose,Daisy
Feminin,18 - 30,Maro,Albastru,Gri,Carnation,Daisy,Lily
Feminin,Under 18,Gri,Albastru,Verde,Iris,Lily,Chrysanthemum
Masculin,Under 18,Gri,Verde,Albastru,Cactus,Tulip,Iris
Masculin,Under 18,Maro,Verde,Rosu,Cactus,Chrysanthemum,Carnation
Feminin,Under 18,Rosu,Maro,Gri,Rose,Orchid,Cactus
Feminin,Under 18,Verde,Maro,Gri,Daisy,Carnation,Sunflower
Masculin,Under 18,Gri,Rosu,Verde,Sunflower,Lily,Orchid
Feminin,Under 18,Gri,Albastru,Maro,Daisy,Cactus,Sunflower
Masculin,18 - 30,Albastru,Rosu,Gri,Cactus,Lily,Carnation
Feminin,Under 18,Gri,Rosu,Maro,Lily,Chrysanthemum,Orchid
Masculin,Under 18,Gri,Verde,Maro,Daisy,Rose,Tulip
Masculin,18 - 30,Maro,Verde,Gri,Lily,Tulip,Chrysanthemum
Feminin,Under 18,Gri,Maro,Albastru,Sunflower,Cactus,Tulip
Masculin,Under 18,Albastru,Rosu,Verde,Iris,Daisy,Cactus
Masculin,18 - 30,Rosu,Gri,Verde,Iris,Chrysanthemum,Carnation
Feminin,Under 18,Maro,Gri,Verde,Daisy,Iris,Cactus
Masculin,18 - 30,Gri,Verde,Maro,Carnation,Lily,Rose
Masculin,Under 18,Verde,Maro,Albastru,Iris,Chrysanthemum,Carnation
Masculin,Under 18,Rosu,Verde,Maro,Daisy,Iris,Tulip
Feminin,18 - 30,Albastru,Gri,Rosu,Tulip,Chrysanthemum,Iris
Feminin,18 - 30,Albastru,Maro,Gri,Lily,Orchid,Carnation
Feminin,18 - 30,Albastru,Rosu,Verde,Orchid,Cactus,Rose
Feminin,Under 18,Albastru,Maro,Gri,Cactus,Carnation,Daisy
Feminin,Under 18,Albastru,Maro,Rosu,Rose,Daisy,Chrysanthemum
Masculin,Under 18,Maro,Albastru,Gri,Carnation,Tulip,Orchid
Feminin,Under 18,Rosu,Verde,Maro,Tulip,Sunflower,Orchid
Masculin,Under 18,Gri,Maro,Albastru,Lily,Iris,Daisy
Feminin,Under 18,Maro,Albastru,Gri,Lily,Carnation,Cactus
Feminin,18 - 30,Rosu,Albastru,Gri,Cactus,Sunflower,Iris
Feminin,18 - 30,Verde,Gri,Maro,Sunflower,Lily,Daisy
Feminin,18 - 30,Rosu,Gri,Maro,Carnation,Tulip,Chrysanthemum
Feminin,18 - 30,Gri,Verde,Albastru,Orchid,Daisy,Carnation
Masculin,Under 18,Rosu,Gri,Albastru,Sunflower,Tulip,Lily
Masculin,18 - 30,Verde,Rosu,Maro,Tulip,Cactus,Carnation
Feminin,Under 18,Albastru,Rosu,Maro,Rose,Lily,Sunflower
Masculin,Under 18,Albastru,Gri,Verde,Tulip,Iris,Chrysanthemum
Masculin,18 - 30,Maro,Verde,Rosu,Rose,Iris,Lily
Feminin,18 - 30,Albastru,Rosu,Gri,Iris,Carnation,Cactus
Feminin,Under 18,Gri,Rosu,Albastru,Cactus,Carnation,Daisy
Masculin,18 - 30,Rosu,Maro,Gri,Sunflower,Iris,Daisy
Feminin,Under 18,Rosu,Albastru,Verde,Sunflower,Carnation,Lily
Masculin,18 - 30,Verde,Albastru,Maro,Tulip,Iris,Carnation
Feminin,18 - 30,Gri,Albastru,Maro,Lily,Carnation,Sunflower
Masculin,18 - 30,Verde,Maro,Rosu,Orchid,Tulip,Rose
Feminin,Under 18,Albastru,Maro,Verde,Chrysanthemum,Rose,Lily
Masculin,Under 18,Rosu,Albastru,Gri,Carnation,Sunflower,Daisy
Masculin,Under 18,Gri,Verde,Maro,Rose,Tulip,Lily
Feminin,18 - 30,Gri,Maro,Verde,Cactus,Lily,Daisy
Feminin,Under 18,Gri,Albastru,Rosu,Sunflower,Daisy,Rose
Masculin,18 - 30,Maro,Gri,Verde,Chrysanthemum,Sunflower,Orchid
Feminin,Under 18,Albastru,Rosu,Verde,Lily,Sunflower,Rose
Masculin,18 - 30,Gri,Verde,Rosu,Rose,Orchid,Chrysanthemum
Masculin,18 - 30,Albastru,Verde,Rosu,Rose,Carnation,Daisy
Feminin,18 - 30,Albastru,Maro,Rosu,Daisy,Rose,Chrysanthemum
Feminin,18 - 30,Albastru,Rosu,Verde,Chrysanthemum,Iris,Lily
Masculin,Under 18,Maro,Albastru,Rosu,Orchid,Rose,Cactus
Feminin,18 - 30,Maro,Albastru,Rosu,Tulip,Daisy,Chrysanthemum
Feminin,18 - 30,Maro,Albastru,Gri,Chrysanthemum,Iris,Rose
Masculin,Under 18,Rosu,Gri,Albastru,Orchid,Rose,Chrysanthemum
Feminin,Under 18,Rosu,Gri,Albastru,Orchid,Chrysanthemum,Cactus
Feminin,18 - 30,Albastru,Verde,Gri,Cactus,Chrysanthemum,Carnation
Feminin,18 - 30,Gri,Verde,Maro,Rose,Iris,Lily
Masculin,Under 18,Verde,Albastru,Rosu,Orchid,Rose,Iris
Feminin,Under 18,Maro,Rosu,Albastru,Chrysanthemum,Rose,Cactus
Feminin,Under 18,Verde,Gri,Rosu,Daisy,Carnation,Orchid
Feminin,18 - 30,Albastru,Maro,Verde,Chrysanthemum,Lily,Rose
Masculin,Under 18,Maro,Verde,Gri,Chrysanthemum,Rose,Carnation
Masculin,Under 18,Albastru,Maro,Gri,Orchid,Daisy,Tulip
Masculin,18 - 30,Maro,Rosu,Albastru,Sunflower,Carnation,Iris
Masculin,Under 18,Verde,Gri,Maro,Cactus,Sunflower,Lily
Masculin,18 - 30,Rosu,Albastru,Gri,Carnation,Cactus,Tulip
Masculin,18 - 30,Maro,Albastru,Verde,Cactus,Tulip,Lily
Masculin,Under 18,Albastru,Gri,Verde,Carnation,Tulip,Iris
Feminin,18 - 30,Rosu,Maro,Verde,Sunflower,Daisy,Carnation
Masculin,18 - 30,Maro,Verde,Albastru,Lily,Orchid,Sunflower
Masculin,Under 18,Maro,Verde,Gri,Cactus,Iris,Sunflower
Feminin,Under 18,Verde,Rosu,Gri,Daisy,Cactus,Rose
Masculin,Under 18,Verde,Albastru,Rosu,Daisy,Tulip,Iris
Masculin,18 - 30,Albastru,Rosu,Verde,Orchid,Rose,Tulip
Masculin,18 - 30,Rosu,Verde,Albastru,Tulip,Lily,Iris
Masculin,18 - 30,Verde,Rosu,Gri,Cactus,Orchid,Chrysanthemum
Feminin,18 - 30,Gri,Verde,Rosu,Lily,Daisy,Sunflower
Feminin,18 - 30,Albastru,Rosu,Maro,Cactus,Chrysanthemum,Sunflower
Feminin,Under 18,Maro,Gri,Rosu,Orchid,Chrysanthemum,Rose
Feminin,Under 18,Albastru,Gri,Verde,Rose,Sunflower,Tulip
Masculin,Under 18,Albastru,Verde,Rosu,Lily,Cactus,Carnation
Feminin,Under 18,Rosu,Gri,Albastru,Carnation,Orchid,Rose
Feminin,Under 18,Maro,Rosu,Albastru,Tulip,Iris,Chrysanthemum
Masculin,Under 18,Maro,Albastru,Rosu,Iris,Chrysanthemum,Carnation
Feminin,18 - 30,Gri,Verde,Albastru,Cactus,Sunflower,Iris
Masculin,Under 18,Verde,Maro,Rosu,Iris,Daisy,Carnation
Masculin,Under 18,Rosu,Albastru,Verde,Lily,Iris,Carnation
Feminin,18 - 30,Maro,Gri,Verde,Daisy,Sunflower,Carnation
Feminin,Under 18,Verde,Maro,Albastru,Sunflower,Tulip,Iris
Masculin,18 - 30,Albastru,Gri,Verde,Iris,Cactus,Carnation
Feminin,Under 18,Verde,Maro,Rosu,Daisy,Carnation,Chrysanthemum
Masculin,18 - 30,Rosu,Gri,Verde,Sunflower,Chrysanthemum,Lily
Feminin,Under 18,Maro,Albastru,Gri,Daisy,Carnation,Tulip
Masculin,Under 18,Verde,Maro,Albastru,Tulip,Lily,Chrysanthemum
Feminin,Under 18,Maro,Verde,Gri,Daisy,Rose,Iris
Feminin,Under 18,Rosu,Maro,Gri,Cactus,Orchid,Tulip
Feminin,18 - 30,Maro,Albastru,Verde,Lily,Orchid,Tulip
Feminin,18 - 30,Albastru,Maro,Gri,Rose,Iris,Cactus
Feminin,18 - 30,Maro,Verde,Gri,Tulip,Iris,Daisy
Masculin,18 - 30,Rosu,Maro,Gri,Cactus,Sunflower,Rose
Feminin,Under 18,Maro,Albastru,Rosu,Tulip,Iris,Sunflower
Feminin,Under 18,Rosu,Albastru,Gri,Tulip,Chrysanthemum,Cactus
Masculin,Under 18,Verde,Albastru,Rosu,Rose,Cactus,Carnation
Masculin,Under 18,Gri,Maro,Rosu,Daisy,Lily,Rose
Masculin,Under 18,Albastru,Gri,Rosu,Daisy,Orchid,Rose
Feminin,18 - 30,Gri,Verde,Maro,Rose,Daisy,Orchid
Feminin,18 - 30,Verde,Gri,Albastru,Orchid,Sunflower,Lily
Feminin,18 - 30,Verde,Maro,Rosu,Sunflower,Cactus,Carnation
Masculin,Under 18,Rosu,Maro,Gri,Tulip,Daisy,Carnation
Feminin,Under 18,Verde,Gri,Rosu,Iris,Lily,Chrysanthemum
Masculin,18 - 30,Maro,Rosu,Gri,Carnation,Cactus,Tulip
Masculin,Under 18,Gri,Verde,Albastru,Lily,Daisy,Orchid
Feminin,18 - 30,Maro,Rosu,Gri,Sunflower,Daisy,Iris
Feminin,18 - 30,Maro,Albastru,Rosu,Orchid,Sunflower,Rose
Masculin,18 - 30,Maro,Verde,Gri,Sunflower,Lily,Iris
Feminin,Under 18,Albastru,Verde,Gri,Rose,Daisy,Chrysanthemum
Masculin,Under 18,Albastru,Verde,Gri,Rose,Cactus,Carnation
Feminin,Under 18,Rosu,Albastru,Verde,Iris,Sunflower,Carnation
Feminin,18 - 30,Albastru,Verde,Rosu,Lily,Chrysanthemum,Cactus
Masculin,18 - 30,Gri,Albastru,Verde,Tulip,Iris,Rose
Masculin,Under 18,Maro,Verde,Gri,Rose,Orchid,Lily
Masculin,18 - 30,Maro,Albastru,Verde,Orchid,Lily,Daisy
Feminin,Under 18,Maro,Albastru,Rosu,Orchid,Tulip,Cactus
Masculin,18 - 30,Albastru,Gri,Maro,Lily,Rose,Sunflower
Masculin,Under 18,Albastru,Verde,Gri,Sunflower,Lily,Cactus
Feminin,18 - 30,Rosu,Maro,Gri,Rose,Tulip,Daisy
Masculin,Under 18,Gri,Maro,Rosu,Iris,Carnation,Tulip
